epoch,class_id,class_name,correct,total,accuracy
1,0,A1,112,158,70.88607594936708
1,1,A2,216,221,97.73755656108597
1,2,A3,113,151,74.83443708609272
1,3,A4,55,68,80.88235294117646
1,4,A5,98,136,72.05882352941177
1,5,A6,0,48,0.0
1,6,A7,37,49,75.51020408163265
1,7,A8,88,94,93.61702127659575
1,8,A9,89,101,88.11881188118812
1,9,A10,102,114,89.47368421052632
1,10,A11,2,29,6.896551724137931
1,11,A12,54,86,62.7906976744186
1,12,A13,131,178,73.59550561797752
1,13,A14,158,176,89.77272727272727
1,14,A15,33,75,44.0
1,15,A16,237,276,85.8695652173913
1,16,A17,113,133,84.9624060150376
1,17,A18,37,64,57.8125
1,18,A19,79,107,73.83177570093459
1,19,A20,72,81,88.88888888888889
2,0,A1,119,158,75.31645569620254
2,1,A2,208,221,94.11764705882354
2,2,A3,117,151,77.48344370860927
2,3,A4,54,68,79.41176470588235
2,4,A5,108,136,79.41176470588235
2,5,A6,0,48,0.0
2,6,A7,41,49,83.6734693877551
2,7,A8,88,94,93.61702127659575
2,8,A9,93,101,92.07920792079207
2,9,A10,105,114,92.10526315789474
2,10,A11,3,29,10.344827586206897
2,11,A12,61,86,70.93023255813954
2,12,A13,124,178,69.66292134831461
2,13,A14,156,176,88.63636363636364
2,14,A15,26,75,34.666666666666664
2,15,A16,247,276,89.4927536231884
2,16,A17,118,133,88.7218045112782
2,17,A18,50,64,78.125
2,18,A19,80,107,74.76635514018692
2,19,A20,68,81,83.95061728395062
3,0,A1,112,158,70.88607594936708
3,1,A2,213,221,96.38009049773756
3,2,A3,126,151,83.44370860927152
3,3,A4,53,68,77.94117647058823
3,4,A5,113,136,83.08823529411765
3,5,A6,0,48,0.0
3,6,A7,41,49,83.6734693877551
3,7,A8,89,94,94.68085106382979
3,8,A9,84,101,83.16831683168317
3,9,A10,100,114,87.71929824561404
3,10,A11,4,29,13.793103448275861
3,11,A12,56,86,65.11627906976744
3,12,A13,139,178,78.08988764044943
3,13,A14,163,176,92.61363636363636
3,14,A15,27,75,36.0
3,15,A16,253,276,91.66666666666667
3,16,A17,119,133,89.47368421052632
3,17,A18,45,64,70.3125
3,18,A19,86,107,80.37383177570094
3,19,A20,71,81,87.65432098765432
4,0,A1,117,158,74.0506329113924
4,1,A2,213,221,96.38009049773756
4,2,A3,122,151,80.79470198675497
4,3,A4,56,68,82.3529411764706
4,4,A5,92,136,67.6470588235294
4,5,A6,0,48,0.0
4,6,A7,43,49,87.75510204081633
4,7,A8,89,94,94.68085106382979
4,8,A9,93,101,92.07920792079207
4,9,A10,107,114,93.85964912280701
4,10,A11,8,29,27.586206896551722
4,11,A12,50,86,58.13953488372093
4,12,A13,143,178,80.33707865168539
4,13,A14,143,176,81.25
4,14,A15,23,75,30.666666666666668
4,15,A16,236,276,85.5072463768116
4,16,A17,118,133,88.7218045112782
4,17,A18,60,64,93.75
4,18,A19,78,107,72.89719626168224
4,19,A20,64,81,79.01234567901234
5,0,A1,110,158,69.62025316455696
5,1,A2,217,221,98.19004524886878
5,2,A3,128,151,84.76821192052981
5,3,A4,57,68,83.82352941176471
5,4,A5,105,136,77.20588235294117
5,5,A6,0,48,0.0
5,6,A7,40,49,81.63265306122449
5,7,A8,87,94,92.55319148936171
5,8,A9,95,101,94.05940594059406
5,9,A10,100,114,87.71929824561404
5,10,A11,4,29,13.793103448275861
5,11,A12,57,86,66.27906976744185
5,12,A13,127,178,71.34831460674157
5,13,A14,166,176,94.31818181818181
5,14,A15,27,75,36.0
5,15,A16,240,276,86.95652173913044
5,16,A17,117,133,87.96992481203007
5,17,A18,46,64,71.875
5,18,A19,78,107,72.89719626168224
5,19,A20,66,81,81.48148148148148
6,0,A1,125,158,79.11392405063292
6,1,A2,216,221,97.73755656108597
6,2,A3,123,151,81.45695364238411
6,3,A4,57,68,83.82352941176471
6,4,A5,102,136,75.0
6,5,A6,0,48,0.0
6,6,A7,42,49,85.71428571428571
6,7,A8,88,94,93.61702127659575
6,8,A9,89,101,88.11881188118812
6,9,A10,102,114,89.47368421052632
6,10,A11,4,29,13.793103448275861
6,11,A12,57,86,66.27906976744185
6,12,A13,131,178,73.59550561797752
6,13,A14,163,176,92.61363636363636
6,14,A15,16,75,21.333333333333332
6,15,A16,243,276,88.04347826086956
6,16,A17,111,133,83.45864661654136
6,17,A18,49,64,76.5625
6,18,A19,78,107,72.89719626168224
6,19,A20,55,81,67.90123456790124
7,0,A1,118,158,74.68354430379746
7,1,A2,217,221,98.19004524886878
7,2,A3,127,151,84.10596026490066
7,3,A4,57,68,83.82352941176471
7,4,A5,110,136,80.88235294117646
7,5,A6,0,48,0.0
7,6,A7,45,49,91.83673469387755
7,7,A8,89,94,94.68085106382979
7,8,A9,91,101,90.0990099009901
7,9,A10,101,114,88.59649122807018
7,10,A11,9,29,31.03448275862069
7,11,A12,53,86,61.627906976744185
7,12,A13,126,178,70.78651685393258
7,13,A14,162,176,92.04545454545455
7,14,A15,20,75,26.666666666666668
7,15,A16,241,276,87.31884057971014
7,16,A17,112,133,84.21052631578948
7,17,A18,50,64,78.125
7,18,A19,81,107,75.70093457943925
7,19,A20,64,81,79.01234567901234
8,0,A1,120,158,75.9493670886076
8,1,A2,215,221,97.28506787330316
8,2,A3,130,151,86.09271523178808
8,3,A4,58,68,85.29411764705883
8,4,A5,106,136,77.94117647058823
8,5,A6,0,48,0.0
8,6,A7,41,49,83.6734693877551
8,7,A8,88,94,93.61702127659575
8,8,A9,91,101,90.0990099009901
8,9,A10,101,114,88.59649122807018
8,10,A11,4,29,13.793103448275861
8,11,A12,62,86,72.09302325581395
8,12,A13,142,178,79.7752808988764
8,13,A14,156,176,88.63636363636364
8,14,A15,25,75,33.333333333333336
8,15,A16,241,276,87.31884057971014
8,16,A17,114,133,85.71428571428571
8,17,A18,48,64,75.0
8,18,A19,80,107,74.76635514018692
8,19,A20,67,81,82.71604938271605
9,0,A1,116,158,73.41772151898734
9,1,A2,217,221,98.19004524886878
9,2,A3,126,151,83.44370860927152
9,3,A4,59,68,86.76470588235294
9,4,A5,109,136,80.1470588235294
9,5,A6,0,48,0.0
9,6,A7,40,49,81.63265306122449
9,7,A8,88,94,93.61702127659575
9,8,A9,89,101,88.11881188118812
9,9,A10,102,114,89.47368421052632
9,10,A11,4,29,13.793103448275861
9,11,A12,64,86,74.4186046511628
9,12,A13,141,178,79.21348314606742
9,13,A14,156,176,88.63636363636364
9,14,A15,25,75,33.333333333333336
9,15,A16,252,276,91.30434782608695
9,16,A17,114,133,85.71428571428571
9,17,A18,49,64,76.5625
9,18,A19,79,107,73.83177570093459
9,19,A20,66,81,81.48148148148148
10,0,A1,114,158,72.15189873417721
10,1,A2,217,221,98.19004524886878
10,2,A3,132,151,87.41721854304636
10,3,A4,54,68,79.41176470588235
10,4,A5,99,136,72.79411764705883
10,5,A6,0,48,0.0
10,6,A7,38,49,77.55102040816327
10,7,A8,88,94,93.61702127659575
10,8,A9,89,101,88.11881188118812
10,9,A10,104,114,91.2280701754386
10,10,A11,7,29,24.137931034482758
10,11,A12,63,86,73.25581395348837
10,12,A13,150,178,84.26966292134831
10,13,A14,157,176,89.20454545454545
10,14,A15,25,75,33.333333333333336
10,15,A16,241,276,87.31884057971014
10,16,A17,114,133,85.71428571428571
10,17,A18,48,64,75.0
10,18,A19,79,107,73.83177570093459
10,19,A20,69,81,85.18518518518519
11,0,A1,105,158,66.45569620253164
11,1,A2,216,221,97.73755656108597
