class_id,class_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mean_iou,ap
0,A1,0,0,0,0,0,0.0,0.0,0.0,0.0,
1,A2,4,4,4,0,0,1.0,1.0,1.0,0.9198404203817357,1.0
2,A3,0,0,0,0,0,0.0,0.0,0.0,0.0,
3,A4,0,0,0,0,0,0.0,0.0,0.0,0.0,
4,A5,0,0,0,0,0,0.0,0.0,0.0,0.0,
5,A6,0,0,0,0,0,0.0,0.0,0.0,0.0,
6,A7,0,0,0,0,0,0.0,0.0,0.0,0.0,
7,A8,0,0,0,0,0,0.0,0.0,0.0,0.0,
8,A9,0,0,0,0,0,0.0,0.0,0.0,0.0,
9,A10,0,0,0,0,0,0.0,0.0,0.0,0.0,
10,A11,0,0,0,0,0,0.0,0.0,0.0,0.0,
11,A12,0,0,0,0,0,0.0,0.0,0.0,0.0,
12,A13,0,0,0,0,0,0.0,0.0,0.0,0.0,
13,A14,0,0,0,0,0,0.0,0.0,0.0,0.0,
14,A15,0,0,0,0,0,0.0,0.0,0.0,0.0,
15,A16,0,0,0,0,0,0.0,0.0,0.0,0.0,
16,A17,0,0,0,0,0,0.0,0.0,0.0,0.0,
17,A18,0,0,0,0,0,0.0,0.0,0.0,0.0,
18,A19,0,0,0,0,0,0.0,0.0,0.0,0.0,
19,A20,0,0,0,0,0,0.0,0.0,0.0,0.0,
